Title,Director,Cast,Genre,Notes/Music
Hamari Shaan,Balwant Bhatt,"Bharat Bhushan, Veera, Durga Khote, Yakub, Agha, S. N. Tripathi, David, Yashodhara Katju",Family Drama,"Music: Chitragupta Lyrics: Anjum Jaipuri, Saraswati Kumar Deepak, Raja Mehdi Ali Khan (1)"
Hanuman Patal Vijay,Homi Wadia,"Meena Kumari, Mahipal, Amarnath, Niranjan Sharma, Dalpat, Bimla, Shanta Kanwar",Religious,Music: S. N. Tripathi Lyrics:
Hulchul,Shubh Karan Ojha,"Dilip Kumar, Nargis, Sitara Devi, Yakub, Jeevan, Balraj Sahni",Family Social Drama,"Music: Sajjad Hussain, Mohammed Shafi Niyazi Lyrics: Khumar Barabankvi"
Humlog,Zia Sarhadi,"Nutan, Balraj Sahni, Shyama, Sajjan, Kanhaiyalal, Durga Khote, Cuckoo, Ratan",Social,"Music: Roshan Lyrics: Udhav Kumar, Vishwamitra Adil"
Ishwar Bhakti,Gunjal,"Trilok Kapoor, Nirupa Roy, Shalini, Urvashi, Nand Kishore",Devotional,"Music: Sonik, Giridhar Lyrics: Narendra Sharma"
Jadoo,A. R. Kardar,"Nalini Jaywant, Suresh, Krishna Kumar, E. Billimoria",Crime Romance,Music: Naushad Lyrics: Shakeel Badayuni
Jai Mahakali,Dhirubhai Desai,"Nirupa Roy, Shahu Modak, Shanta Kunwar, Lalita Pawar, Ulhas, S. N. Tripathi",Religious,"Music: Kumar Lyrics: Saraswati Kumar Deepak, Firoz Jalandhari"
Jai Mahalaxmi,Nanubhai Vakil,"Shobhana Samarth, Mahipal, Usha Kiran, Arun, Nirmala, Tiwari, Ramsingh",Religious,"Music: Avinash Vyas Lyrics: Mulkraj Bhakri, Saraswati Kumar Deepak, B. P. Bhargav"
Jai Shankar,Ishwarlal,"Ishwarlal, Ranjana, Shakuntala, Niranjan Sharma, Babu Raje, Kesari, Heera Sawant",Religious,"Music: Khemchand Prakash Lyrics: Neelkanth Tiwari, Ambikesh Kuntal"
Jawani Ki Aag,H. S. Rawail,"Ramola, Iftekhar, Robin Majumdar, Hiralal, Manorama, Sunder",Social,"Music: G. A. Chisti Lyrics: Jameel Mazhari, G. A. Chishti"
Johari,Niranjan,"Amarnath, Geeta Bali, Manorama, Sunder, Cuckoo, Rajan Haksar",Social,Music: Harbans Lal Lyrics: Tejnath Zar
Kali Ghata,Kishore Sahu,"Bina Rai, Kishore Sahu, Gope, Asha Mathur, Ulhas, Jeevan, Cuckoo",Romantce Drama,"Music: Shanker-Jaikishen Lyrics: Hasrat Jaipuri, Shailendra"
Kashmir,Rajendra Jolly,"Nirupa Roy, Veena, Kamal Kapoor, Aroon, Achala Sachdev, Sajjan, Al Nasir, Tiwari",Social Drama,Music: Hansraj Behl Lyrics: Sarshar Sailani
Khazana,M. Sadiq,"Nasir Khan, Madhubala, Gope, Om Prakash, Cuckoo, Raj Mehra, Ramesh Thakur",Social,Music: C. Ramchandra Lyrics: Rajendra Krishan
